SKU;Produto;EAN;EH 1º Nível;Preço (R$);EH 3º Nível;EH 2º Nível;Estoque;Ruptura (R$)
98719;CHOC STICKS 32G BIBS STIKADINHO;7891330018246;MERCEARIA;2.39;BOMBONIERE;SECA DOCE;32.000;76.48
101455;BEBIDA ENERGETICA MONSTER 473ML. ZR ULTRA PARAD;1220000250000;MERCEARIA;7.49;NAO ALCOOLICOS;LIQUIDA;10.000;74.90
8956;DROPS MENTOS 37,5G MOR YORGURT;7895144603087;MERCEARIA;3.70;BOMBONIERE;SECA DOCE;20.000;74.00
103211;*BEBIDA LACTEA BIOLAT 125G MIX MOR *+DRAGEAS;7897903110379;PERECIVEIS;5.19;IOGURTES;P.A.S.;14.000;72.66
105840;*PANETTONE GROSS 400G CHOC;7898961723730;MERCEARIA;10.29;SAZONAIS;SECA DOCE;7.000;72.03
102804;*VINHO LA DORNI 720ML BRA TTO SECO S/ALC;7898903200022;MERCEARIA;34.90;VINHOS;LIQUIDA;2.000;69.80
105836;MASSA ROMENA 60G PIZZA BROTINHO;7896249500110;PERECIVEIS;2.89;LATICINIOS E MASSAS;P.A.S.;24.000;69.36
103126;*KIT PROT SOLAR NIVEA 200ML SUN F50 GTS F60 50ML;4005805373270;MERCEARIA;68.90;CUIDADO COM CORPO;PERFUMARIA;1.000;68.90
97281;PRATO PRONTO SEARA 300G MAC CHEESE TRAD;7894904245871;PERECIVEIS;11.39;CONGELADOS;P.A.S.;6.000;68.34
93057;COGUMELO FUNGI 400G NATURA GRILL;7898994893554;PERECIVEIS;33.90;FOLHAGENS E PROCESS;FLV;2.000;67.80
100220;QUEIJO PRESIDENT 300G MUSSAR FAT;7891097103841;PERECIVEIS;16.49;QUEIJOS;P.A.S.;4.000;65.96
104465;BEBIDA ENERGETICA BALY. 473ML GALAXIAS MOR/PE;7898080665003;MERCEARIA;5.99;NAO ALCOOLICOS;LIQUIDA;10.000;59.90
105671;SALG ELMA CHIPS 45G DORITOS QJO NACHO;7892840820145;MERCEARIA;4.99;SALGADINHOS E APERITIVOS;SECA SALGADA;11.000;54.89
102470;BEBIBA TOPO CHICO 310ML MISTA MOR/GOIABA;7894900335040;MERCEARIA;3.59;ALCOOLICOS;LIQUIDA;15.000;53.85
16999;QUEIJO SAO VICENTE 125G CAMEMBERT;7896926700017;PERECIVEIS;17.79;QUEIJOS;P.A.S.;3.000;53.37
84376;IOGURTE VIDA VEG 170G BAN/MAMAO/MACA;7898958161217;PERECIVEIS;6.59;IOGURTES;P.A.S.;8.000;52.72
10882;*PRATO RASO DURALEX ASTRAL 40002 00;7894993000238;BAZAR;3.99;ARTES DA MESA;CASA;13.000;51.87
100787;CREPE PADERRI 192G RECH DOC LEIT;7899985000920;PERECIVEIS;14.79;CONFEITARIA FRESC INDUST;PADARIA;3.000;44.37
25248;GRANOLA NATURALE 1KG CEREAIS/FRUTAS;7898055420484;MERCEARIA;14.29;CEREAIS E SAUDAVEIS;SECA DOCE;3.000;42.87
16255;*AVE PERU SADIA KG TEMP;09027;PERECIVEIS;9.99;AVES CONGELADA;ACOUGUE;4.000;39.96
104827;ODORIZADOR GLADE 360ML AERO EMB ECON FRUT/FLOR;7894650007822;MERCEARIA;9.99;LIMPEZA CASA;LIMPEZA E DESCARTAVEIS;4.000;39.96
90426;*FRALDA HUGGIES SUPREME CARE MEGA RN C/ 34;7896007549634;MERCEARIA;39.90;CUIDADOS INFANTIL;PERFUMARIA;1.000;39.90
5475;BEBIDA LACTEA NESTLE 280ML NESTON;7891000067017;MERCEARIA;7.49;BEBIDAS LACTEAS;LIQUIDA;5.000;37.45
94451;DES REXONA 150ML AERO FEM BY ANITTA *VAI MALANDRA;7891150071278;MERCEARIA;17.99;CUIDADO COM CORPO;PERFUMARIA;2.000;35.98
136;COUVE FLOR UN;2100647;PERECIVEIS;11.69;FOLHAGENS E PROCESS;FLV;3.000;35.07
4032;REFRIG FANTA 350ML LARAN;7894900030013;MERCEARIA;2.79;REFRIGERANTES;LIQUIDA;12.000;33.48
105162;ESPUMANTE TORRE ORIA 750ML CAVA BRUT;8410744000013;MERCEARIA;32.90;VINHOS;LIQUIDA;1.000;32.90
92741;REFRIG SPRITE 1,5L LEMON FRESH;7894900680522;MERCEARIA;5.39;REFRIGERANTES;LIQUIDA;6.000;32.34
23231;*SOPA VONO 17G *MAND CEB/SALS;7891132007530;MERCEARIA;3.19;MERCEARIA COMPLEMENTAR;SECA SALGADA;10.000;31.90
51659;REFRIG PEPSI 350ML ZR;7892840813505;MERCEARIA;2.59;REFRIGERANTES;LIQUIDA;12.000;31.08
16472;REQUEIJAO NESTLE 200G CREM TRAD;7891000084649;PERECIVEIS;9.99;LATICINIOS E MASSAS;P.A.S.;3.000;29.97
1195;PERNIL SEARA KG S/O TEMP;52405;PERECIVEIS;9.99;AVES CONGELADA;ACOUGUE;3.000;29.97
104108;*CHINELO HAVAIANAS BRASIL LIGHT BCO *33/34;7909843212959;BAZAR;29.90;CALCADOS;ACESSORIOS E CALCADO;1.000;29.90
93967;PIPOCA DOCE GUIMARAES 30G;7896775102307;MERCEARIA;1.19;SALGADINHOS E APERITIVOS;SECA SALGADA;25.000;29.75
100495;*BEBIDA LACTEA DANONE 510G *MOR/MIX FRUT;7891025121633;PERECIVEIS;7.39;IOGURTES;P.A.S.;4.000;29.56
80009;MARCELA GAUER TEMPEROS 3G;7898960551266;PERECIVEIS;5.89;FOLHAGENS E PROCESS;FLV;5.000;29.45
79997;MIX TEMPERO GAUER TEMPEROS 18G MASSA;7898960551433;PERECIVEIS;5.79;FOLHAGENS E PROCESS;FLV;5.000;28.95
73495;MOSTARDA ODERICH 200G SACHE;7896041172775;MERCEARIA;3.59;MERCEARIA COMPLEMENTAR;SECA SALGADA;8.000;28.72
62338;*COUVE FLOR GRANO 300G CONG;7898268720142;PERECIVEIS;6.99;CONGELADOS;P.A.S.;4.000;27.96
96527;REQUEIJAO PIA 400G POTE LIGHT;7896348845280;PERECIVEIS;13.79;LATICINIOS E MASSAS;P.A.S.;2.000;27.58
36079;IOGURTE PIA 500G ESSENCE MIRT;7896348843842;PERECIVEIS;9.19;IOGURTES;P.A.S.;3.000;27.57
79380;MOLHO DI PAOLO 300G. SUGO;7898958351243;PERECIVEIS;25.90;CONGELADOS;P.A.S.;1.000;25.90
