SKU;Produto;EH 1º Nível;EH 2º Nível;EH 3º Nível;Estoque
101616;POLENTA MOMIL 1KG PALITO CONG;PERECIVEIS;P.A.S.;CONGELADOS;6.000
104116;CHINELO HAVAIANAS GOLD TOP ROSE 37/38;BAZAR;ACESSORIOS E CALCADO;CALCADOS;2.000
104896;CROISSANT EXCELSIOR 90G TRI FGO/REQ;PERECIVEIS;P.A.S.;CONGELADOS;5.000
71568;ENXAG BUCAL COLGATE 250ML TOT 12 HALITO SAUDAVEL;MERCEARIA;PERFUMARIA;HIGIENE ORAL;3.000
104404;BOLINHO KINDER 39G DELICE RECH CACAO;MERCEARIA;SECA DOCE;BOLOS INDUSTRIALIZADOS;7.000
10859;VASSOURA PRIMAVERA LIMP FAC S/CABO;BAZAR;LIMPEZA DA CASA;UTENSILIOS PARA LIMPEZA;5.000
64315;IOGURTE BATAVO 100G GREGO MEL;PERECIVEIS;P.A.S.;IOGURTES;21.000
94453;*DES REXONA 150ML AERO FEM BY ANITT *SHOW PODEROSA;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;3.000
37188;SORVETE NESTLE 1,5L NAPOLITANO ESP;PERECIVEIS;P.A.S.;CONGELADOS;2.000
95517;CEREAL ALCA FOODS 200G CORN FLAKES;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;6.000
100485;*VINHO PERRO CALLEJERO 750ML .ARG RESERVA CAB FRA;MERCEARIA;LIQUIDA;VINHOS;1.000
31927;PRESERVATIVO PRUDENCE C/3 ULTRA SENSIVEL;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;7.000
89228;CERV CORUJA 355ML LAGER DESC;MERCEARIA;LIQUIDA;CERVEJAS;10.000
71396;DAMASCO NUTTINI 160G SECO INTEIRO;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;2.000
103750;BARRA FRUT SUPINO 24G ZR ACUC COB CHOC BAN/MAC/CA;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;24.000
75467;FORMA GELO SANREMO FLEXIVEL SR1260;BAZAR;CASA;COZINHAR E ASSAR;3.000
104100;CHINELO HAVAIANAS TRAD PRETO/BCO *45/46;BAZAR;ACESSORIOS E CALCADO;CALCADOS;2.000
53734;*COND ELSEVE 200ML SUPREME CONT 4D;MERCEARIA;PERFUMARIA;CUIDADO COM CABELO;2.000
89089;DES REXONA 150ML CLINICAL AERO FEM CLASS;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;2.000
85182;OLEO COCO QUALICOCO 200ML VD VIRG;MERCEARIA;SECA SALGADA;AZEITES E OLEO COMPOSTO;2.000
93480;DES OLD SPICE 200ML AERO MASC VIP;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;2.000
20523;DES NIVEA 150ML AERO MASC SENS PROTECT;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;2.000
50727;PASTA AMENDOIM DACOLONIA 500G.;MERCEARIA;SECA DOCE;DOCES E SOBREMESAS;2.000
5538;DES REXONA 150ML AERO MASC V8;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;2.000
73829;*SABONETE PROTEX 250ML HID *AMEN;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;2.000
79992;TOMILHO GAUER TEMPEROS 16G;PERECIVEIS;FLV;FOLHAGENS E PROCESS;6.000
105162;ESPUMANTE TORRE ORIA 750ML CAVA BRUT;MERCEARIA;LIQUIDA;VINHOS;1.000
92148;BICARBONATO SODIO INCAL 150G PT;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;5.000
6892;MACARRAO GERMANI 63G CARNE;MERCEARIA;SECA SALGADA;MASSAS SECAS;21.000
80612;DES ADIDAS 150ML AERO MASC ADIPOWER;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;2.000
62338;*COUVE FLOR GRANO 300G CONG;PERECIVEIS;P.A.S.;CONGELADOS;4.000
78627;CALDO MAGGI 57G LEGUMES;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;11.000
71938;POMADA HEDERA 150G MODEL BARBA/BIGODE;MERCEARIA;PERFUMARIA;CUIDADO COM ROSTO;1.000
40009;*PIZZA GOURMET 380G S/LACT *CALABRESA;PERECIVEIS;P.A.S.;CONGELADOS;1.000
16076;UVA COMUM KG;PERECIVEIS;FLV;FRUTAS;2.000
80659;ALGODAO YORK C/50 DISCOS;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;3.000
104757;CEREAL NESTLE 180G MUCILON INF MILHO;MERCEARIA;SECA DOCE;NUTRICAO INFANTIL;3.000
79563;CREME DENT CLOSE-UP 70G ANTI CARIE;MERCEARIA;PERFUMARIA;HIGIENE ORAL;6.000
64656;*COLORACAO BEAUTY COLOR 142G *12.122 LOU VIO;MERCEARIA;PERFUMARIA;CUIDADO COM CABELO;1.000
12409;ABSORV INTIMUS C/8 INTERNO MED;MERCEARIA;PERFUMARIA;DESCARTAVEIS HIGIENICO;2.000
30626;PASTILHA ADESIV INSPIRA C/3 *MARINE;MERCEARIA;LIMPEZA E DESCARTAVEIS;LIMPEZA CASA;3.000
5668;DES REXONA 50ML ROLL-ON MASC ACTIVE;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;2.000
69484;MASSA GERMANI 500G S/O PARAF;MERCEARIA;SECA SALGADA;MASSAS SECAS;6.000
78591;COND PANTENE 175ML *REST;MERCEARIA;PERFUMARIA;CUIDADO COM CABELO;1.000
4019;COLHER CONSERV C/10 PLAST REFEICAO;BAZAR;DESCARTAVEIS;DESCARTAVEIS DA CASA;5.000
95793;MOLHO HEMMER 310G 3 EM 1;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;2.000
7708;TEMPERO SABOR AMI 300G COMPL ALHO/SAL;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;3.000
1392;POMADA NEEZ 40G FINALIZ SEMI LINO;MERCEARIA;PERFUMARIA;CUIDADO COM CABELO;1.000
13195;SABONETE DOVE 90G KARITE BAUNILHA;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;3.000
74116;COCO ZAFFARI KG PEDACO;PERECIVEIS;FLV;MANIPULADOS FLV;1.000
92786;MASSA URBANO 500G FEIJAO PARAF;MERCEARIA;SECA SALGADA;MASSAS SECAS;2.000
15989;*SARDINHA COQUEIRO 250G TOMATE TEMP;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;1.000
11134;FITA DENTAL JOHNSONS REACH 50M;MERCEARIA;PERFUMARIA;HIGIENE ORAL;1.000
43181;*LIMPADOR CIF 450ML RF BANH S/CLORO ULT RAPID ECON;MERCEARIA;LIMPEZA E DESCARTAVEIS;LIMPEZA CASA;1.000
77992;VINHO SAN MARTIN 1,4L TTO SUAV;MERCEARIA;LIQUIDA;VINHOS;1.000
105768;BEBIDA ENERGETICA BALY 2L CITRUS LIMAO SICILIAN;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;1.000
59731;AGUA MIN BAMBOO 510ML C/GAS;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;9.000
3717;DES REXONA 50ML ROLL-ON MASC V8;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;1.000
42898;IOGURTE DANONINHO 100G MOR;PERECIVEIS;P.A.S.;IOGURTES;3.000
81485;CERV IMIGRACAO 500ML PILSEN;MERCEARIA;LIQUIDA;CERVEJAS;1.000
106246;SUCO FINFI 1L INT 80% UVA;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;1.000
73777;BISC CLUB SOCIAL 80G ORIG;MERCEARIA;SECA DOCE;BISCOITOS;1.000
89399;NECTAR IZZY 200ML T PACK LARAN;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;2.000
78793;*TEMPERO CASTELO 300G *C/PIMENTA;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;1.000
